score,pop,song_a,song_b,bpm
99,69,Morgan Wallen - I Got Better,Oimara - Wackelkontakt,172<->172
99,69,"Mc JacareÌ - Pau Pra Toda Obra (w/ MC Ryan SP, Mc Lele JP, Mc IG)",TarcÃ­sio do Acordeon - NÃ£o Era Eu no BolÃ£o (w/ Raul Vaqueiro),117<->112
99,69,Alex Warren - Ordinary,"Chappell Roan - Good Luck, Babe!",112<->117
99,69,"Pritam - Mashooqa (w/ Mahmood, Amitabh Bhattacharya, Raghav Chaitanya, Ruaa Kayy)","Drake - Ran To Atlanta (w/ Future, Molly Santana)",143<->143
99,69,Simone Mendes - Direitos Iguais,"Junior H - DROGA LETAL (w/ Gael Valenzuela, Peso Pluma)",112<->117
99,69,GIMS - Soleil,The Weeknd - Blinding Lights,86<->86
99,69,Grupo Marca Registrada - Di Que SÃ­ (w/ Grupo Frontera),STELLA LEFTY - Boston,129<->123
99,68,Ella Langley - weren't for the wind,Werenoi - Tu connais,152<->152
99,68,Peso Pluma - dopamina (w/ Tito Double P),"Shashwat Sachdev - Vaari Jaavan (w/ Jyoti Nooran, Jasmine Sandlas, Reble)",117<->123
99,68,"Rafa e Junior - Ama Um Maloqueiro (w/ Hugo & Guilherme, DJ Ari SL)",Dasha - Austin,123<->117
99,68,Panda - Corpo Nu,Diego & Victor Hugo - MoÃ§a Pra Casar,107<->112
99,68,Panda - Corpo Nu,Cleber & Cauan - AtÃ© Ficar Velhin,107<->112
99,68,Panda - Corpo Nu,Calle 24 - TÃXICOS,107<->107
99,68,Ken Carson - deaf note (w/ Playboi Carti),Diggo - Hipnotiza (w/ LÃ©o Santana),99<->103
99,68,Amo - Mala Fama,Post Malone - Sunflower,92<->89
99,68,Disco Lines - No Broke Boys (w/ Tinashe),KAROL G - Si Antes Te Hubiera Conocido,129<->129
99,68,Karan Aujla - Boyfriend (w/ Ikky),The Kid LAROI - GIRLS,95<->99
99,68,Harsh Nussi - Sadi Sun,Creedence Clearwater Revival - Have You Ever Seen The Rain,117<->117
99,68,"Mc IG - Mente Barulhenta (w/ Mc Lele JP, DJ Oreia, DJ Noiskita)",The Neighbourhood - Sweater Weather,129<->123
99,68,"dj andreoli - Menos Foco Mais Ansiedade (Ce Ta Nervosa) (w/ Mc JacareÌ, MC Ryan SP, MC LUUKY, Mc Lele JP, ZANOLINI)","HUGEL - Movin' To The Sun (w/ Imael Angel, Ultra NatÃ©)",129<->123
99,68,DJ Snake - Let Me Love You (w/ Justin Bieber),ANOTR - Talk To You (ft. 54 Ultra),136<->129
99,68,Madonna - La Isla Bonita,"Aaron Modesto - Pra NÃ£o Esquecer De Mim (w/ Mc Magal, MC Meno K, DJ Glenner)",129<->123
99,67,Nono La Grinta - LOVE YOU,GIMS - CIEL,136<->129
99,67,Nono La Grinta - LOVE YOU,Mc Lele JP - Toma Gostosona (w/ DJ Guh Mix),136<->129
99,67,Simone Mendes - Direitos Iguais,Luis R Conriquez - Medusa (w/ Tito Double P),112<->112
99,67,Fuerza Regida - ANSIEDAD,Michael Jackson - Bad,107<->112
99,67,"SIRA - Rhythm (w/ Aymen, NiklasWilson)",Calvin Harris - Summer,129<->129
99,67,Kings of Leon - Use Somebody,Olivia Dean - Nice To Each Other,136<->129
99,67,THIZZY52 - BLOCKKIDS,sombr - 12 to 12,129<->123
99,67,WIXO & LA2S - GMK,ANOTR - Talk To You (ft. 54 Ultra),136<->129
99,67,Bamby - Pas Jalouse (w/ Kerchak),ANOTR - Talk To You (ft. 54 Ultra),136<->129
99,67,Werenoi - Piano (w/ GIMS),sombr - 12 to 12,129<->123
99,66,"Jasleen Royal - Inaam (Ft. Badshah) (w/ Badshah, Ansh Chahal)","G.A - pros menor da nova (w/ Veigh, Mc Morena, Supernova Ent)",129<->129
99,66,Amo - Mala Fama,Tayc - GIRLFRIEND,92<->95
99,66,KALIM - MYKONOS (w/ CANEY030),Booba - Dolce Camara (w/ SDM),107<->112
99,66,Drake - National Treasures,Hozier - Take Me To Church,136<->129
99,66,Drake - National Treasures,The Bausa - Magnetic,136<->129
99,66,Murilo Huff - Deixa Eu,Hugo & Guilherme - Mentirosa,143<->143
99,66,"HUGEL - Movin' To The Sun (w/ Imael Angel, Ultra NatÃ©)",Disclosure - Latch (w/ Sam Smith),123<->123
99,66,La Arrolladora Banda El LimÃ³n De Rene Camacho - El Final De Nuestra Historia,Sean Paul - Temperature,117<->123
99,66,Disco Lines - No Broke Boys (w/ Tinashe),Pitbull - Timber (w/ Kesha),129<->129
99,66,"Mc JacareÌ - CarnÃ­voro (w/ Mc Lele JP, Mc NegÃ£o Original, DJ Japa NK)",Sean Paul - Temperature,129<->123
99,66,"HUNTR/X - Golden (w/ EJae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",J Balvin - LA CANCIÃN (w/ Bad Bunny),123<->117
99,66,Calvin Harris - Summer,Sabrina Carpenter - Manchild,129<->123
99,66,Bruno Mars - I Just Might,Natasha Bedingfield - Unwritten,103<->99
99,66,DJ Snake - Let Me Love You (w/ Justin Bieber),Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),136<->129
99,66,KR$NA - Boom Shaka (w/ Dhanda Nyoliwala),PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),129<->123
99,65,"TRIANGLE DES BERMUDES - Balek (w/ Aya Nakamura, MC YOSHI, Mauvais djo, Kokosvoice)","Shashwat Sachdev - Vaari Jaavan (w/ Jyoti Nooran, Jasmine Sandlas, Reble)",129<->123
99,65,"TRIANGLE DES BERMUDES - Balek (w/ Aya Nakamura, MC YOSHI, Mauvais djo, Kokosvoice)",Victor Mendivil - Me Paseo (w/ Oscar Maydon),129<->129
99,65,Bausa - Wolke 4 (w/ Philipp Dittberner),Lagui - MaracanÃ£,117<->117
